name,group,cluster,kibbe_type,kitchener_essence,kitchener_primary,map_x,map_y,map_z
Adele,Western celebrities,West-leaning,Soft Dramatic,Romantic w/ multiple others,romantic,1.3832,9.2612,6.1389
Akwafina,Western celebrities,Third shape,,,,4.0651,10.8342,6.2098
Alexa Ray Joel,Western celebrities,West-leaning,Soft Natural,,,3.1466,9.7419,6.6882
Alexis Smith,Western celebrities,West-leaning,Dramatic,,,3.2784,10.2969,6.744
Ali McGraw,Western celebrities,West-leaning,Natural,,,2.1757,10.1764,7.2052
Alison Sudol,Western celebrities,Third shape,,,,5.2614,12.5624,6.8812
Ally Sheedy,Western celebrities,West-leaning,Soft Natural,,,2.4729,8.6205,5.2792
Angelina Jolie,Western celebrities,Third shape,Flamboyant Natural,70% Romantic,romantic,4.7836,11.5443,6.4775
Anita Ekberg,Western celebrities,East-leaning,Soft Dramatic,,,2.3111,7.634,7.5909
Anita Page,Western celebrities,West-leaning,Soft Classic,,,1.5931,8.0127,5.7206
Anjelica Huston,Western celebrities,West-leaning,Dramatic,Dramatic,dramatic,0.3578,9.2894,6.5991
Ann-Margret,Western celebrities,West-leaning,Theatrical Romantic,,,2.1087,10.2482,7.1395
Anne Bancroft,Western celebrities,West-leaning,Soft Dramatic,,,2.139,9.119,6.1197
Anne Hathaway,Western celebrities,West-leaning,Flamboyant Natural,"40% Classic, 30% Romantic, 20% High Spirited, 10% Dramatic",classic,2.2459,9.0825,6.1512
Anya Taylor Joy,Western celebrities,East-leaning,,,,2.6162,9.1789,7.2623
Aretha Franklin,Western celebrities,West-leaning,Soft Natural,,,0.803,7.7571,5.5225
Ariana Grande,Western celebrities,East-leaning,Theatrical Romantic,High-Spirited with Romantic,high spirited,0.5119,7.8549,7.3901
Arlene Dahl,Western celebrities,West-leaning,Romantic,,,0.6361,9.0233,6.9197
Ashley Oslen,Western celebrities,Third shape,Soft Gamine,,,4.4444,11.4243,6.2913
Audrey Hepburn,Western celebrities,West-leaning,Flamboyant Gamine,"45% High-Spirited, 35% Classic, 10% Natural, 10% Romantic",high spirited,1.7833,9.8936,7.5372
Audrey Tautou,Western celebrities,West-leaning,Soft Gamine,,,1.046,9.9135,6.4402
Ava Gardner,Western celebrities,East-leaning,Soft Dramatic,"Romantic, classic",romantic,0.8858,7.9528,7.3795
Barabara Mandrell,Western celebrities,West-leaning,Romantic,,,1.3754,8.758,7.3049
Barbara Carrera,Western celebrities,East-leaning,Soft Dramatic,,,1.9868,6.4632,8.1013
Barbara Hershey,Western celebrities,West-leaning,Soft Natural,,,2.5855,8.9802,8.0704
Barbara Walters,Western celebrities,West-leaning,Soft Classic,,,1.8241,8.8474,5.7939
